site_name_1990_2016,site_code_1990_2016,add_to,code1,code2,code3,code4,code5
UNKNOWN,-1,,9999,,,,
STRUCTURAL PEST CONTROL,10,,9204,,,,
LANDSCAPE MAINTENANCE,30,-1,,,,,
RIGHTS OF WAY,40,-1,,,,,
PUBLIC HEALTH,50,-1,,,,,
COUNTY AG COMM,60,,7,975,,,
VERTEBRATE CONTROL,80,-1,,,,,
COMMODITY FUMIGATION,90,-1,,,,,
"FUMIGATION, OTHER",91,-1,,,,,
RESEARCH COMMODITY,99,-1,,,,,
REGULATORY PEST CONTROL,100,-1,,,,,
N-GRNHS FLOWER,151,67003,,,,,
N-OUTDR FLOWER,152,,7500,,,,
N-GRNHS PLANTS IN CONTAINERS,153,67003,,,,,
N-OUTDR PLANTS IN CONTAINERS,154,99999,,,,,
N-GRNHS TRANSPLANTS,155,67003,,,,,
N-OUTDR TRANSPLANTS,156,99999,,,,,
SMALL FRUITS/BERRY,1000,,2502,2500,,,
BLACKBERRY,1002,1000,,,,,
BOYSENBERRY,1003,,2505,,,,
DEWBERRY,1004,1000,,,,,
LOGANBERRY,1005,1000,,,,,
RASPBERRY,1006,1000,,,,,
BLUEBERRY,1009,,2504,,,,
CRANBERRY,1010,,2507,,,,
GOOSEBERRY,1013,,2508,,,,
STRAWBERRY,1016,,2501,,,,
BUSHBERRY,1023,,2506,,,,
CITRUS,2000,,2100,2105,,,
GRAPEFRUIT,2002,,2101,,,,
KUMQUAT,2003,,2108,,,,
LEMON,2004,,2102,,,,
LIME,2005,,2106,,,,
ORANGE,2006,,2103,,,,
TANGELO,2007,,2104,,,,
TANGERINE,2008,,2104,,,,
NUTS,3000,,4100,4000,,,
ALMOND,3001,,4101,,,,
CASHEW,3003,,4109,,,,
CHESTNUT,3004,,4102,,,,
PECAN,3008,,4103,,,,
WALNUT,3009,,4105,,,,
PISTACHIO,3011,,4104,,,,
POME FRUIT,4000,,2200,,,,
APPLE,4001,,2201,,,,
PEAR,4003,,2202,,,,
QUINCE,4004,,2203,,,,
STONE FRUIT,5000,,2300,,,,
APRICOT,5001,,2301,,,,
CHERRY,5002,,2302,,,,
NECTARINE,5003,,2303,,,,
PEACH,5004,,2304,,,,
PLUM,5005,,2305,,,,
PRUNE,5006,,2306,,,,
TROPICAL/SUBTROPICAL FRUIT,6000,,2400,2407,,,
BANANA,6002,,2411,,,,
DATE,6004,,2402,,,,
FIG,6005,,2403,,,,
MANGO,6007,,2413,,,,
PAPAYA,6010,,2414,,,,
PERSIMMON,6012,,2408,,,,
PINEAPPLE,6013,,2409,,,,
POMEGRANATE,6015,,2406,,,,
KIWI,6018,,2404,,,,
CACTUS PEAR,6028,,1254,,,,
CHERIMOYA,6030,,1346,,,,
BEVERAGE CROP,7000,,,,,,
"HERB, SPICE",8000,,5000,5300,5200,5100,5400
ANISE,8004,,5401,,,,
"BASIL, SWEET",8006,,5203,,,,
DILL,8015,,5402,,,,
GINGER,8019,,5102,,,,
HOPS,8020,,5301,,,,
SAGE,8035,,5202,,,,
TARRAGON,8041,,5204,,,,
"PEPPER, SPICE",8050,,1343,,,,
CUCURBITS,10000,10010,,,,,
CANTALOUPE,10002,29122,,,,,
WATERMELON,10008,,1312,,,,
CUCUMBER,10010,,1313,,,,
PUMPKIN,10011,,1322,,,,
SQUASH,10012,,1321,1320,,,
"SQUASH, SUMMER",10013,,1323,,,,
"SQUASH, WINTER",10014,,1324,,,,
"SQUASH, ZUCCHINI",10015,,1325,,,,
CHINESE OKRA,10018,,1251,,,,
CHAYOTE,10030,,1255,,,,
"VEGETABLES, FRUITING",11000,,1300,1340,,,
EGGPLANT,11001,,1341,,,,
"PEPPER, FRUITING",11003,,1342,,,,
PIMENTO,11004,,5302,,,,
TOMATO,11005,,1344,,,,
TOMATILLO,11008,,1345,,,,
"VEGETABLES, LEAFY",13000,,1210,1200,,,
COLE CROP,13004,,1220,1236,,,
BROCCOLI,13005,,1221,,,,
BRUSSEL SPROUT,13006,,1222,,,,
CABBAGE,13007,,1223,,,,
CAULIFLOWER,13008,,1224,,,,
COLLARD,13009,,1225,,,,
CHINESE CABBAGE (NAPPA),13010,,1251,,,,
KALE,13011,,1226,,,,
KOHLRABI,13012,,1228,,,,
DANDELION GREEN,13014,,1237,,,,
ENDIVE (ESCAROLE),13015,,1219,1238,,,
"ARTICHOKE, GLOBE",13018,,1231,,,,
MUSTARD GREENS,13021,29123,,,,,
PARSLEY,13022,,1214,5104,,,
RHUBARB,13023,,1234,,,,
SPINACH,13024,,1215,,,,
SWISS CHARD,13025,,1216,1217,,,
WATERCRESS,13027,,1249,,,,
"LETTUCE, LEAF",13031,,1213,1241,,,
CARDOON,13032,,1218,,,,
"VEGETABLES, STEM",13043,,1230,,,,
"LETTUCE, HEAD",13045,,1212,,,,
SHINGI KU,13046,,1260,,,,
CACTUS LEAF,13048,,1253,,,,
BAMBOO SHOOTS,13051,,,,,,
RAPPINI,13052,,1243,,,,
CHERVIL,13055,8000,,,,,
ARRUGULA,13056,13000,,,,,
CILANTRO,13501,,1256,,,,
BOK CHOY,13502,13999,,,,,
MIZUNA,13504,,1259,,,,
"CABBAGE, SAVOY",13505,,1245,,,,
GAI CHOY,13509,,1239,,,,
GAI LON,13903,,1240,,,,
CHINESE GREENS,13999,,1251,,,,
CELERIAC,14004,,1235,,,,
CHIVE,14005,,1211,,,,
GARLIC,14007,,1121,,,,
LEEK,14010,,1122,,,,
"ONION, DRY",14011,,1125,1123,,,
PARSNIP,14012,,1113,,,,
POTATO,14013,,1124,,,,
RADISH,14014,,1114,,,,
RUTABAGA,14015,,1119,,,,
SHALLOT,14017,16004,,,,,
SWEET POTATO,14018,,1117,,,,
YAM,14021,,1250,,,,
DAIKON,14023,,1127,,,,
JICAMA,14024,,1128,,,,
LOTUS ROOT,14025,,5103,,,,
BEAN,15001,,1331,,,,
"BEAN, SUCCULENT",15003,15001,,,,,
SOYBEAN GRAIN,15010,,1334,,,,
BEAN SPROUT,15013,15001,,,,,
OKRA,15015,,1332,,,,
ALFALFA SPROUT,15021,,3110,,,,
SOYBEAN SPROUT,15029,,1334,,,,
GARBANZOS,15032,15001,,,,,
ASPARAGUS,16002,,1232,,,,
MUSHROOM,16003,,9302,,,,
"ONION, GREEN",16004,,1126,,,,
FIBER CROP,21000,,3200,,,,
HEMP,21003,,3202,,,,
RAMIE,21005,,3203,,,,
FORAGE HAY/SILAGE,22000,,3100,,,,
SORGHUM (FORAGE - FODDER),22004,29131,,,,,
CORN (FORAGE - FODDER),22005,29119,,,,,
OAT (FORAGE - FODDER),22006,29125,,,,,
WHEAT (FORAGE - FODDER),22007,29139,,,,,
BARLEY (FORAGE - FODDER),22008,29103,,,,,
SUDANGRASS,22011,,3106,,,,
BERMUDAGRASS,22017,28066,,,,,
RYEGRASS,22035,,3105,,,,
LEGUME (FORAGE - FODDER),23000,,3109,,,,
ALFALFA,23001,,3101,,,,
CLOVER,23003,,3103,,,,
COTTON (FORAGE - FODDER),23005,29121,,,,,
PEAS (FORAGE - FODDER),23008,29127,,,,,
SUGARBEET (FORAGE - FODDER),23009,29135,,,,,
VETCH,23010,,3107,,,,
"TREFOIL, BIRDSFOOT",23011,,3102,,,,
CARROT (FORAGE - FODDER),23025,29111,,,,,
BEET (FORAGE - FODDER),23036,29109,,,,,
TURNIP (FORAGE - FODDER),23501,29137,,,,,
GRAIN CROPS,24000,,3300,,,,
"RICE, WILD",24013,,3308,,,,
SUGARCANE,25003,,2410,,,,
HONEY,25501,,5501,,,,
TOBACCO,26003,,9303,,,,
OILSEED,27000,,4200,,,,
CASTORBEAN,27001,,4201,,,,
COTTONSEED OIL,27003,,4204,,,,
SOYBEAN OIL,27010,,1334,,,,
JOJOBA BEAN,27018,27000,,,,,
AVOCADO,28000,,2401,,,,
"BEAN, UNSPECIFIED",28001,,1330,,,,
COCONUT,28004,,2412,,,,
FENNEL,28008,8000,,,,,
FLAX,28009,,3204,,,,
HORSERADISH,28011,,5101,,,,
MINT,28012,,5201,,,,
OLIVE,28014,,2405,,,,
"SESAME, SEED",28018,,5403,,,,
"SUGARBEET, UNSPECIFIED",28020,29135,,,,,
SOYBEAN,28023,,1334,,,,
VEGETABLE,28024,,1000,,,,
FRUITS,28025,,2000,,,,
CHICORY,28034,,5205,,,,
PASTURELAND,28035,,3104,,,,
FRUIT TREES,28036,28025,,,,,
SEEDS,28040,,4500,,,,
RANGELAND,28045,,3104,,,,
TARO ROOT,28047,,1247,,,,
CANOLA (RAPE),28051,28040,,,,,
ROOT VEGETABLE,28061,,1110,1100,1120,,
RYE,28064,,3305,,,,
"GRASS, SEED",28066,,3000,,,,
RICE,28072,,3304,,,,
GRAIN,28078,,3300,,,,
SALSIFY,28504,,1115,,,,
ORCHARD FLOOR,28509,,9102,,,,
BARLEY,29103,,3301,,,,
BEET,29109,,1111,,,,
CARROT,29111,,1112,,,,
CELERY,29113,,1233,,,,
"CORN, HUMAN CONSUMPTION",29119,,3302,,,,
COTTON,29121,,3201,,,,
MELON,29122,,1311,1310,,,
MUSTARD,29123,,1227,,,,
OAT,29125,,3303,,,,
PEANUT,29126,,4109,,,,
PEAS,29127,,1333,,,,
SAFFLOWER,29129,,4202,,,,
SORGHUM/MILO,29131,,3306,,,,
SUNFLOWER,29133,,4203,,,,
SUGARBEET,29135,,1116,,,,
"TOMATO, PROCESSING",29136,11005,,,,,
TURNIP,29137,,1118,1248,,,
WHEAT,29139,,3307,,,,
GRAPE,29141,,2503,,,,
"GRAPE, WINE",29143,29141,,,,,
"FOREST, TIMBERLAND",30000,,7700,,,,
CHRISTMAS TREE,30005,,7301,,,,
FOREST PLANTINGS,30006,30000,,,,,
TURF/SOD,33008,,7100,,,,
SOIL FUMIGATION/PREPLANT,40008,,9103,,,,
DRIED FRUIT,43026,,9301,,,,
STORAGE AREA/BOX,46000,,8005,,,,
GRANARY,46502,,8001,,,,
LIVESTOCK,52000,,6100,6109,,,
CATTLE,52003,,6101,,,,
"SHEEP, LAMB",52013,,6103,,,,
PIG,52018,,6104,,,,
POULTRY,55000,,6000,6200,,,
CHICKEN,55001,,6201,,,,
DUCK,55002,,6202,,,,
TURKEY,55008,,6203,,,,
EGG,55501,,6204,,,,
HORSE,56005,,6102,,,,
DAIRY EQUIPMENT,60000,52000,,,,,
ANIMAL PREMISE,61001,46000,,,,,
SILOS,61005,46502,,,,,
GREENHOUSE FUMIGATION,61006,,8002,,,,
MUSHROOM HOUSE,61007,16003,,,,,
BEEHIVE,61008,46000,,,,,
HOUSEHOLD,63000,,9210,,,,
"LUMBER, TREATED",64500,99999,,,,,
WATER AREA,65000,,9104,,,,
SWIMMING POOL,65011,,9211,,,,
WATER FILTER,65015,,5,950,,,
WATER COOLING TOWERS,65019,,5,950,,,
DITCH BANK,65021,65000,,,,,
WATER (INDUSTRIAL),65503,65000,,,,,
UNCULTIVATED AG,66000,,9101,,,,
UNCULTIVATED NON-AG,67000,,9000,,,,
AIRPORT,67001,67000,,,,,
RECREATION AREA,67002,,980,9202,,,
BUILDINGS/NON-AG OUTDROOR,67003,,8000,,,,
INDUSTRIAL SITES,67009,,9201,,,,
RESIDENTIAL,68002,,9203,,,,
FENCEROWS,68009,67000,,,,,
BOAT/PIER,69000,67000,,,,,
FOOD PROCRESSING PLANT,71000,,8102,,,,
RESTAURANT,72000,,8101,,,,
HOSPITAL,74000,,9209,,,,
INDUSTRIAL SITE,77000,,9201,,,,
REFUSE AND SOLID WASTE,89000,67000,,,,,
UNDECLARED COMMODITY,99999,,9300,,,,
